"input_ymax","input_ymin","input_xmax","input_xmin","IW",,,,,,,,,,,,,,"b1","LW",,,,,,,,,,"b2","output_ymax","output_ymin","output_xmax","output_xmin",
1,-1,0.16167,-0.0091549,0.12067,-3.4912,5.7934,-5.0611,5.3752,1.9509,-3.5694,0.063901,-4.1171,3.72,-5.0859,5.1444,0.03211,-0.14335,1.9466,-1.6681,-12.3899,-8.0226,-0.15106,1.548,-1.0341,-0.37318,-7.0282,0.15435,-5.5905,-3.5375,1,-1,0.12145,-0.044242,
,,0.16716,0.0030234,0.54336,-6.7459,6.3729,1.1649,-1.949,1.0471,-2.2458,0.45282,9.7016,-9.4127,2.1869,-3.2507,1.7447,-0.25988,-1.6161,-2.4267,-12.7065,-12.5978,-0.22437,1.2578,-1.7994,-0.32558,-11.0636,0.16021,-5.63,-3.6027,,,0.115,-0.018061,
,,0.17295,0.013157,0.46428,12.9566,-18.5335,5.8351,-5.0869,-1.0379,4.8299,1.1254,-6.5529,6.6122,1.2332,0.40061,-2.4639,0.32532,-1.6726,-1.7681,-7.1932,-8.6538,-0.12419,0.91781,-1.0529,-0.17124,-7.6296,0.070113,-3.1292,-1.8495,,,0.061959,-0.014669,
,,0.1774,0.015708,0.077229,16.6281,-14.7965,-14.103,17.693,-30.8323,22.9401,-5.3622,11.752,-4.9095,0.4202,11.8366,-12.2666,1.5559,-0.88094,,,,,,,,,,,,,,,,
,,0.18893,0.019047,-0.84831,-3.3089,1.3502,7.7231,-9.8194,-0.11859,1.8164,-2.7314,23.8383,-18.3419,0.93624,-8.3776,8.5258,-1.7197,-2.409,,,,,,,,,,,,,,,,
,,0.19301,0.019428,-0.93464,-3.8603,4.9563,1.2107,0.78429,3.7648,-4.1441,1.3941,-9.3411,6.4712,-1.9457,2.5609,-0.65623,-0.20571,1.0562,,,,,,,,,,,,,,,,
,,0.19256,0.018836,0.40631,-3.0478,0.43679,-0.64533,6.2209,-1.1896,0.17103,-1.9926,-5.5536,1.6779,3.3471,7.7118,-7.2147,-0.94982,0.10225,,,,,,,,,,,,,,,,
,,0.15476,0.011893,-0.43913,-13.9344,19.8846,-6.0654,4.9602,0.74206,-4.7333,-1.5312,8.8998,-8.4674,-0.924,-1.4036,3.18,-0.33433,1.734,,,,,,,,,,,,,,,,
,,0.14812,0.010118,2.8198,-8.5823,0.95353,6.3635,-3.7344,-3.4929,2.8706,-4.132,21.2173,-8.9439,-3.7868,0.2451,-0.34243,-0.17921,1.6647,,,,,,,,,,,,,,,,
,,0.14812,0.0095336,-0.40079,9.9904,-10.0321,-0.4123,-0.075845,-1.8056,4.9175,-1.706,-10.0368,11.1385,-2.3994,2.8044,-1.4338,0.31571,1.4414,,,,,,,,,,,,,,,,
,,0.10062,0.0044781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.092107,0.0031964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.091885,0.0031102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.10895,0.001264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

