"input_ymax","input_ymin","input_xmax","input_xmin","IW",,,,,,,,,"b1","LW",,,,,,,,,,"b2","output_ymax","output_ymin","output_xmax","output_xmin",
1,-1,0.246,-0.0091549,4.0186,-1.9204,-1.2411,-4.9563,0.37847,5.3636,-2.7936,0.14355,1.6607,0.086212,0.36436,-2.5753,-0.92571,-0.76155,-1.9595,-1.5641,-2.4721,0.54726,0.49686,0.62401,2.0351,1,-1,0.15569,-0.054711,
,,0.23796,0.0030234,2.3114,-1.0322,-3.0482,-1.719,3.9226,-1.8855,-0.46703,3.107,-1.0857,-0.15016,1.0545,-2.2096,-1.5957,-1.6012,1.7564,-1.965,-2.5884,-3.0691,0.91229,0.83973,2.2304,,,0.14585,-0.018061,
,,0.23274,0.013157,5.5967,-9.6839,-4.0106,8.152,-3.1279,2.764,0.95674,0.53344,-1.6384,-2.0691,0.56829,-0.75908,-0.97371,-0.78591,1.5764,-0.85798,-1.0334,-2.1261,0.60514,0.40177,0.8161,,,0.10551,-0.039281,
,,0.22841,0.015708,1.7697,-2.0921,-2.8412,3.3368,0.89667,0.68165,-2.9211,0.78391,0.95833,0.38232,,,,,,,,,,,,,,,,
,,0.18983,0.019047,0.33722,0.15453,2.6493,-3.2104,-3.2136,4.3512,-0.39306,0.32852,-0.081676,0.7994,,,,,,,,,,,,,,,,
,,0.21618,0.018836,-7.5266,-3.3411,8.5857,5.838,0.39141,1.8749,-6.639,2.4022,-2.8386,2.7809,,,,,,,,,,,,,,,,
,,0.20402,0.011893,-2.4206,2.0153,1.8375,0.86562,-1.6971,0.06601,0.59975,-3.1262,1.0874,-0.22679,,,,,,,,,,,,,,,,
,,0.23504,0.0031964,0.64074,0.75098,2.5704,-5.2858,-2.849,5.04,-0.39706,0.60705,-0.14464,0.74822,,,,,,,,,,,,,,,,
,,0.2389,0.001264,1.8862,-7.1089,2.8034,1.2563,-1.6604,0.99544,2.3626,2.7289,-5.4386,-3.6826,,,,,,,,,,,,,,,,
,,,,4.7496,-3.684,-5.9047,-1.3616,6.4438,-0.81317,-1.7347,0.55998,0.2497,-3.1813,,,,,,,,,,,,,,,,

