"input_ymax","input_ymin","input_xmax","input_xmin","IW",,,,,,,,,,,,,,"b1","LW",,,,,,,,,,,,,,,"b2","output_ymax","output_ymin","output_xmax","output_xmin",
1,-1,0.19877,-0.032254,-2.222,2.1715,3.1301,-1.4075,-0.937,1.3299,0.38208,-0.85481,0.64971,-0.47198,3.4444,-3.9202,-4.0629,0.38287,-4.0877,0.25617,-0.28658,-3.2208,-0.61387,-0.29534,-1.5246,-0.44429,-0.60167,0.28836,-1.3576,-0.081105,1.1475,2.0378,-2.3164,1.433,0.22385,1,-1,0.12145,-0.044242,
,,0.17514,-0.01734,-2.6942,2.4652,1.5065,1.6592,-0.41406,-1.6105,-1.9098,-0.58308,2.3574,-1.8504,2.2852,-0.90378,-0.3234,-0.52984,-1.1329,0.24286,-0.81202,-3.1669,-1.3825,-0.43239,0.13568,-0.20492,-0.65656,-1.52,-1.5705,-1.9447,1.1071,3.3856,-2.2425,2.6271,0.36187,,,0.115,-0.018061,
,,0.16509,-0.0093608,-0.5961,0.58615,1.3906,-0.67696,-0.53573,1.3131,-0.15324,0.37325,-0.97658,-0.53946,0.49014,-0.77211,-0.027678,0.0077682,-0.84644,0.147,-0.48827,-1.9052,-1.1258,-0.25378,0.35989,-0.050727,-0.40181,-0.92843,-0.90515,-1.2108,0.72184,2.3398,-1.2199,1.7639,0.16742,,,0.061959,-0.014568,
,,0.16909,-0.0056026,-1.269,-0.43336,-0.04491,3.908,-0.08479,-0.21097,-1.5688,3.0696,-1.892,-2.4584,-3.3873,-0.31953,4.4448,0.11987,1.4741,,,,,,,,,,,,,,,,,,,,,
,,0.18235,0.0033689,-2.1444,0.56843,1.3059,3.9875,-0.14037,-1.3481,-1.1714,-2.1659,-0.077657,3.1967,-4.2471,1.8773,0.51175,0.37316,0.45599,,,,,,,,,,,,,,,,,,,,,
,,0.18706,0.0067807,-0.65084,0.54527,0.31407,1.5037,-1.1329,-1.2535,0.67233,-1.1667,-0.7113,1.3999,0.15948,0.31494,0.13829,-0.35194,-0.54057,,,,,,,,,,,,,,,,,,,,,
,,0.18844,0.0079449,1.219,-0.4423,-0.30963,-1.2496,2.1982,0.27024,-2.7757,-0.37826,0.44729,2.9315,-3.1582,1.0689,0.36917,0.91894,2.1216,,,,,,,,,,,,,,,,,,,,,
,,0.16791,0.0073761,0.78357,2.6329,-3.7173,-3.3422,1.8013,-1.3006,0.5526,1.3626,1.6859,-1.8865,0.71058,2.1979,-1.211,-0.15593,1.0125,,,,,,,,,,,,,,,,,,,,,
,,0.16175,0.0063982,2.0459,0.80827,-1.3895,-0.86502,1.8353,1.2646,-0.87901,-0.10165,-2.1235,0.21915,-2.415,-0.18975,1.6182,0.89894,0.3801,,,,,,,,,,,,,,,,,,,,,
,,0.15886,0.0062871,0.44091,-1.3607,-1.5854,3.8226,0.63578,-0.9657,-1.1934,2.1618,-0.088481,-3.4283,1.013,-1.861,2.1518,-0.098057,0.17358,,,,,,,,,,,,,,,,,,,,,
,,0.11684,0.002152,-1.5919,-1.7022,1.5541,0.67368,-0.36907,-1.1093,-0.11974,0.35684,0.23794,1.3604,1.6297,-0.21019,-0.33279,-1.104,-0.35432,,,,,,,,,,,,,,,,,,,,,
,,0.1159,0.0022398,-0.0031532,1.6328,-0.99926,0.42687,0.75482,-0.30923,0.55112,1.4623,-2.2951,-1.2981,0.7126,-0.18874,-0.85526,0.72984,-1.5984,,,,,,,,,,,,,,,,,,,,,
,,0.11865,0.0021363,-1.7401,1.747,0.76653,0.86054,-1.4709,-0.57503,0.64275,0.56397,-1.2834,-0.63223,-0.59121,-1.3853,2.7842,-0.0052361,0.8471,,,,,,,,,,,,,,,,,,,,,
,,0.14381,0.00095987,1.2482,-1.1205,-0.56324,-2.2449,2.0027,0.63507,-0.1324,0.17766,1.0301,-0.68367,-0.53887,-0.067936,0.097543,0.40277,0.59337,,,,,,,,,,,,,,,,,,,,,
,,,,0.96452,-2.3049,0.1196,-1.1137,3.6373,1.8988,-3.6638,2.312,1.4339,-3.0581,0.3117,-1.4957,1.1226,-0.11105,-0.47501,,,,,,,,,,,,,,,,,,,,,

