"input_ymax","input_ymin","input_xmax","input_xmin","IW",,,,,,,,,,,,,,"b1","LW",,,,,,,,,,"b2","output_ymax","output_ymin","output_xmax","output_xmin",
1,-1,0.19877,-0.032254,-2.0884,2.1261,-0.049727,-0.0052007,-0.41745,3.9172,-3.1976,1.1012,-4.6808,1.8765,0.24456,-0.47717,1.2195,0.030376,-0.8371,-1.8766,-0.66115,-1.7523,-1.0272,-1.475,0.68147,-0.017319,-0.34041,-0.72263,-1.2009,-1.1464,1,-1,0.11009,1.7294e-05,
,,0.17514,-0.01734,0.1732,-2.438,1.371,-0.93457,2.0054,-3.2062,2.5043,1.0677,-2.6391,-0.092504,1.1963,-2.7676,4.0127,-0.36086,0.65863,-3.2103,1.9025,-4.6205,-2.7919,-1.4566,2.1443,-0.086105,-0.71188,-5.0572,0.73207,0.32633,,,0.096912,2.4416e-05,
,,0.16509,-0.0093608,-0.57148,2.5252,0.017264,-2.5012,1.3348,-1.6748,0.77796,-0.001301,4.7307,-3.4172,0.049208,-0.079465,-1.2168,-0.0049059,0.059256,-2.7297,1.3681,-3.9497,-2.9869,-1.4027,2.0494,-0.10777,-0.91967,-3.757,1.2476,0.55917,,,0.039954,2.0354e-06,
,,0.16909,-0.0056026,-1.3808,0.92178,-1.0755,-1.7173,1.4073,-1.1286,2.6519,1.2074,-1.937,-1.4081,-0.29018,-2.9021,4.324,0.38186,-0.55854,,,,,,,,,,,,,,,,
,,0.18235,0.0033689,2.5666,-3.704,-2.3177,8.1006,-5.4172,2.1598,-0.71801,-0.2178,0.35596,0.023126,-2.3696,3.1732,-1.5797,0.053469,0.37947,,,,,,,,,,,,,,,,
,,0.18706,0.0067807,-3.0909,4.6854,-1.0362,-3.2495,-3.161,3.0271,1.9103,1.2577,2.7785,-5.3184,-0.90264,-2.1077,3.9981,0.14098,-0.69195,,,,,,,,,,,,,,,,
,,0.18844,0.0079449,-0.12942,0.62355,1.0993,1.5351,3.5734,-0.13601,-2.482,-2.9637,-1.2654,-1.8582,6.3411,1.358,1.8801,-1.2394,-0.41576,,,,,,,,,,,,,,,,
,,0.16791,0.0073761,0.48883,2.7706,2.09,-3.2274,-6.3187,1.2814,2.3166,-5.8727,10.7674,-1.6682,2.1373,3.1909,-5.8799,-0.62878,1.051,,,,,,,,,,,,,,,,
,,0.16175,0.0063982,0.47129,-2.1974,0.56493,0.45009,0.072596,-0.62509,0.96558,0.26288,-2.7593,1.3097,0.16878,-0.64173,2.1558,-0.20255,0.49759,,,,,,,,,,,,,,,,
,,0.15886,0.0062871,-0.67319,2.9774,0.23168,-4.114,1.4807,-0.13672,0.14435,-1.8882,3.8679,-2.0742,1.9929,0.87214,-2.9716,0.27766,-1.0542,,,,,,,,,,,,,,,,
,,0.11684,0.002152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.10319,0.0022398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.10389,0.0021363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.071739,0.00095987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

