"input_ymax","input_ymin","input_xmax","input_xmin","IW",,,,,,,,,"b1","LW",,,,,,,,,,"b2","output_ymax","output_ymin","output_xmax","output_xmin",
1,-1,0.13271,-0.0078942,0.18249,-0.78606,-0.092184,0.49637,0.071961,0.49768,-1.0214,1.5153,-1.1316,0.52119,-0.88735,0.64457,1.1908,0.0073067,-0.86624,0.63197,-0.58582,0.57232,-0.24303,0.36836,1.0118,1,-1,0.069723,1.0177e-06,
,,0.12585,0.00061235,0.26436,-0.72854,-0.094613,0.51994,-0.23086,-0.33704,0.96824,-1.1482,-1.1256,-2.2201,-0.65739,-0.54574,0.96089,1.7595,-1.1749,-0.30017,-0.10909,0.78309,1.6091,1.5869,-0.10201,,,0.079255,0.00051169,
,,0.1259,0.006023,0.1007,0.14388,-0.21741,-1.5755,0.53128,1.2006,0.14059,0.51347,-0.22283,-0.0015821,-0.45615,-0.58158,0.68631,1.3695,-0.96188,-0.13165,-0.08582,0.93336,1.4118,1.3099,-0.23073,,,0.039872,7.7605e-05,
,,0.12311,0.0086705,-0.63595,0.25186,1.0743,-0.54377,-1.1231,1.9934,-0.50301,0.16825,-0.11013,0.39079,,,,,,,,,,,,,,,,
,,0.12253,0.014852,-0.8919,0.84187,0.70904,0.017179,-0.8205,0.95219,0.18229,0.20688,0.39057,0.4239,,,,,,,,,,,,,,,,
,,0.12355,0.015566,-0.077607,0.56882,0.61356,-0.66979,0.35232,-1.1586,0.39896,0.48352,-0.48736,-0.029866,,,,,,,,,,,,,,,,
,,0.10107,0.014197,-0.42622,-0.37942,0.013735,-0.22677,0.33149,-0.015947,-0.070481,-0.11806,-1.1628,-1.2106,,,,,,,,,,,,,,,,
,,0.1159,0.0066222,-0.82569,-1.5002,-0.86718,-0.64281,0.15639,1.0927,1.3328,0.28591,-0.076491,-2.5571,,,,,,,,,,,,,,,,
,,0.14381,0.0018423,1.4824,0.97125,-1.1166,-0.7219,-1.0522,0.022074,0.86905,-0.15846,0.39386,0.74036,,,,,,,,,,,,,,,,
,,,,-1.1461,0.37458,1.2305,0.1857,-2.2,-0.029592,0.85824,-0.39538,-1.128,-2.4112,,,,,,,,,,,,,,,,

